#options: 1280x720 fps=25/1 timebase=1/25 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=0.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:55 out:55 type:B dur:2 cpbdur:2 q:31.88 tex:8202 mv:8695 misc:1463 imb:38 pmb:593 smb:2969 d:- ref:0 ;
in:54 out:56 type:b dur:2 cpbdur:2 q:31.72 tex:106 mv:471 misc:1031 imb:0 pmb:226 smb:3374 d:- ref:0 ;
in:56 out:57 type:b dur:2 cpbdur:2 q:32.03 tex:4992 mv:5498 misc:1326 imb:21 pmb:390 smb:3189 d:- ref:0 ;
in:61 out:58 type:P dur:2 cpbdur:2 q:32.15 tex:54755 mv:10066 misc:2451 imb:99 pmb:1285 smb:2216 d:- ref:0 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:32.17 tex:4492 mv:3755 misc:1017 imb:2 pmb:303 smb:3295 d:- ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:32.18 tex:64 mv:525 misc:803 imb:1 pmb:145 smb:3454 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:32.16 tex:1179 mv:1536 misc:621 imb:1 pmb:125 smb:3474 d:- ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:31.67 tex:27851 mv:5947 misc:2690 imb:29 pmb:1067 smb:2504 d:- ref:0 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:31.91 tex:799 mv:1018 misc:791 imb:0 pmb:144 smb:3456 d:- ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:32.03 tex:93 mv:449 misc:442 imb:1 pmb:46 smb:3553 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:31.79 tex:2 mv:59 misc:299 imb:0 pmb:16 smb:3584 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:30.97 tex:17636 mv:4518 misc:2622 imb:11 pmb:959 smb:2630 d:- ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:31.32 tex:167 mv:271 misc:618 imb:0 pmb:76 smb:3524 d:- ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:31.50 tex:32 mv:54 misc:274 imb:0 pmb:5 smb:3595 d:- ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:31.14 tex:1 mv:5 misc:250 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:73 out:70 type:P dur:2 cpbdur:2 q:30.20 tex:38670 mv:9094 misc:2932 imb:102 pmb:1271 smb:2227 d:- ref:0 ;
in:71 out:71 type:B dur:2 cpbdur:2 q:30.59 tex:1585 mv:1970 misc:1277 imb:1 pmb:332 smb:3267 d:- ref:0 ;
in:70 out:72 type:b dur:2 cpbdur:2 q:30.78 tex:3 mv:42 misc:275 imb:0 pmb:6 smb:3594 d:- ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:30.39 tex:369 mv:1039 misc:992 imb:0 pmb:220 smb:3380 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:29.64 tex:13645 mv:739 misc:2328 imb:1 pmb:592 smb:3007 d:- ref:0 ;
in:76 out:75 type:P dur:2 cpbdur:2 q:29.51 tex:130282 mv:18846 misc:2656 imb:954 pmb:1590 smb:1056 d:- ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:29.58 tex:34299 mv:14646 misc:1247 imb:231 pmb:812 smb:2557 d:- ref:0 ;
in:79 out:77 type:P dur:2 cpbdur:2 q:30.13 tex:187955 mv:22167 misc:2734 imb:706 pmb:1902 smb:992 d:- ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:29.93 tex:18717 mv:11806 misc:1749 imb:93 pmb:858 smb:2649 d:- ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:29.72 tex:29229 mv:15291 misc:1472 imb:220 pmb:882 smb:2498 d:- ref:0 ;
in:83 out:80 type:P dur:2 cpbdur:2 q:30.97 tex:111614 mv:15520 misc:3170 imb:160 pmb:1969 smb:1471 d:- ref:0 ;
in:81 out:81 type:B dur:2 cpbdur:2 q:30.55 tex:6959 mv:6672 misc:1793 imb:13 pmb:569 smb:3018 d:- ref:0 ;
in:80 out:82 type:b dur:2 cpbdur:2 q:30.34 tex:96 mv:566 misc:1186 imb:0 pmb:258 smb:3342 d:- ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:30.77 tex:2394 mv:3015 misc:1223 imb:3 pmb:280 smb:3317 d:- ref:0 ;
in:87 out:84 type:P dur:2 cpbdur:2 q:30.95 tex:71000 mv:16218 misc:2902 imb:575 pmb:1544 smb:1481 d:- ref:0 ;
in:85 out:85 type:B dur:2 cpbdur:2 q:30.96 tex:5166 mv:4039 misc:1835 imb:4 pmb:509 smb:3087 d:- ref:0 ;
in:84 out:86 type:b dur:2 cpbdur:2 q:30.97 tex:112 mv:307 misc:645 imb:0 pmb:84 smb:3516 d:- ref:0 ;
in:86 out:87 type:b dur:2 cpbdur:2 q:30.95 tex:5723 mv:4322 misc:1563 imb:27 pmb:434 smb:3139 d:- ref:0 ;
